Location,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Ireland,429.5249078,416.7995784,408.9808582,403.4096627,399.1174684,395.6460326,392.743552,390.2573615,388.0881893,386.1679999,384.4482157,382.8929932,381.4751619,380.1736558,378.9718265,377.856299,376.8161732,375.8424541,374.9276359,374.065394,373.2503509,372.4778987,371.7440596,371.0453774,370.378831,369.7417651,369.1318337,368.5469547,367.9852719,367.4451237,366.9250175,366.4236073,365.9396756,365.4721175,365.0199278,364.5821888,364.1580611,363.7467748,363.3476222,362.9599513,362.58316,362.2166917,361.8600301,361.5126963,361.1742445,360.8442597,360.5223546,360.2081673,359.9013592,359.601613,359.308631,359.0221335,358.7418574,358.4675551,358.1989931,357.9359508,357.6782201,357.4256041,357.1779164,356.9349804,356.6966285,356.4627017,356.2330492,356.0075271,355.7859989,355.5683345,355.3544097,355.1441065,354.9373119,354.733918,354.533822
Italy,399.2179616,386.4926322,378.673912,373.1027165,368.8105222,365.3390864,362.4366058,359.9504154,357.7812431,355.8610537,354.1412695,352.5860471,351.1682158,349.8667096,348.6648804,347.5493529,346.5092271,345.5355079,344.6206898,343.7584478,342.9434048,342.1709525,341.4371134,340.7384312,340.0718848,339.4348189,338.8248876,338.2400086,337.6783257,337.1381776,336.6180713,336.1166611,335.6327294,335.1651714,334.7129816,334.2752426,333.8511149,333.4398286,333.040676,332.6530051,332.2762139,331.9097455,331.553084,331.2057501,330.8672983,330.5373135,330.2154084,329.9012211,329.594413,329.2946668,329.0016848,328.7151873,328.4349113,328.160609,327.8920469,327.6290046,327.3712739,327.118658,326.8709702,326.6280342,326.3896823,326.1557556,325.926103,325.7005809,325.4790527,325.2613883,325.0474636,324.8371603,324.6303657,324.4269719,324.2268759
Japan,400.4887575,387.7634281,379.9447079,374.3735124,370.0813181,366.6098823,363.7074017,361.2212112,359.052039,357.1318496,355.4120654,353.856843,352.4390116,351.1375055,349.9356762,348.8201488,347.7800229,346.8063038,345.8914856,345.0292437,344.2142006,343.4417484,342.7079093,342.0092271,341.3426807,340.7056148,340.0956834,339.5108044,338.9491216,338.4089734,337.8888672,337.387457,336.9035253,336.4359673,335.9837775,335.5460385,335.1219108,334.7106245,334.3114719,333.923801,333.5470098,333.1805414,332.8238798,332.476546,332.1380942,331.8081094,331.4862043,331.172017,330.8652089,330.5654627,330.2724807,329.9859832,329.7057071,329.4314048,329.1628428,328.8998005,328.6420698,328.3894538,328.1417661,327.8988301,327.6604782,327.4265514,327.1968989,326.9713768,326.7498486,326.5321842,326.3182595,326.1079562,325.9011616,325.6977678,325.4976717
Malaysia,380.4084296,367.6831002,359.8643799,354.2931844,350.0009902,346.5295543,343.6270738,341.1408833,338.9717111,337.0515216,335.3317375,333.776515,332.3586837,331.0571775,329.8553483,328.7398208,327.699695,326.7259758,325.8111577,324.9489157,324.1338727,323.3614205,322.6275813,321.9288991,321.2623528,320.6252869,320.0153555,319.4304765,318.8687937,318.3286455,317.8085393,317.3071291,316.8231974,316.3556393,315.9034496,315.4657105,315.0415828,314.6302966,314.231144,313.8434731,313.4666818,313.1002135,312.7435519,312.396218,312.0577663,311.7277815,311.4058764,311.0916891,310.784881,310.4851348,310.1921527,309.9056552,309.6253792,309.3510769,309.0825148,308.8194726,308.5617419,308.3091259,308.0614382,307.8185021,307.5801502,307.3462235,307.1165709,306.8910489,306.6695207,306.4518562,306.2379315,306.0276283,305.8208336,305.6174398,305.4173438
Mexico,392.7726539,380.0473245,372.2286042,366.6574087,362.3652145,358.8937786,355.9912981,353.5051076,351.3359354,349.4157459,347.6959618,346.1407393,344.722908,343.4214018,342.2195726,341.1040451,340.0639193,339.0902001,338.175382,337.31314,336.498097,335.7256448,334.9918056,334.2931234,333.6265771,332.9895112,332.3795798,331.7947008,331.233018,330.6928698,330.1727636,329.6713534,329.1874216,328.7198636,328.2676738,327.8299348,327.4058071,326.9945209,326.5953683,326.2076973,325.8309061,325.4644378,325.1077762,324.7604423,324.4219906,324.0920058,323.7701007,323.4559134,323.1491053,322.8493591,322.556377,322.2698795,321.9896035,321.7153012,321.4467391,321.1836969,320.9259662,320.6733502,320.4256625,320.1827264,319.9443745,319.7104478,319.4807952,319.2552732,319.033745,318.8160805,318.6021558,318.3918526,318.1850579,317.9816641,317.7815681
Netherlands,426.7320016,414.0066722,406.187952,400.6167565,396.3245622,392.8531264,389.9506458,387.4644554,385.2952831,383.3750937,381.6553095,380.1000871,378.6822557,377.3807496,376.1789203,375.0633929,374.0232671,373.0495479,372.1347298,371.2724878,370.4574448,369.6849925,368.9511534,368.2524712,367.5859248,366.9488589,366.3389276,365.7540486,365.1923657,364.6522175,364.1321113,363.6307011,363.1467694,362.6792114,362.2270216,361.7892826,361.3651549,360.9538686,360.554716,360.1670451,359.7902539,359.4237855,359.067124,358.7197901,358.3813383,358.0513535,357.7294484,357.4152611,357.108453,356.8087068,356.5157248,356.2292273,355.9489513,355.674649,355.4060869,355.1430446,354.8853139,354.6326979,354.3850102,354.1420742,353.9037223,353.6697956,353.440143,353.2146209,352.9930927,352.7754283,352.5615036,352.3512003,352.1444057,351.9410119,351.7409158
New Zealand,411.8933435,399.1680141,391.3492939,385.7780983,381.4859041,378.0144683,375.1119877,372.6257972,370.456625,368.5364356,366.8166514,365.2614289,363.8435976,362.5420915,361.3402622,360.2247347,359.1846089,358.2108898,357.2960716,356.4338297,355.6187866,354.8463344,354.1124952,353.413813,352.7472667,352.1102008,351.5002694,350.9153904,350.3537076,349.8135594,349.2934532,348.792043,348.3081113,347.8405532,347.3883635,346.9506245,346.5264968,346.1152105,345.7160579,345.328387,344.9515957,344.5851274,344.2284658,343.881132,343.5426802,343.2126954,342.8907903,342.576603,342.2697949,341.9700487,341.6770667,341.3905692,341.1102931,340.8359908,340.5674287,340.3043865,340.0466558,339.7940398,339.5463521,339.303416,339.0650642,338.8311374,338.6014848,338.3759628,338.1544346,337.9367702,337.7228454,337.5125422,337.3057476,337.1023537,336.9022577
Norway,455.344096,442.6187666,434.8000464,429.2288509,424.9366566,421.4652208,418.5627402,416.0765497,413.9073775,411.9871881,410.2674039,408.7121814,407.2943501,405.992844,404.7910147,403.6754872,402.6353614,401.6616423,400.7468241,399.8845822,399.0695391,398.2970869,397.5632478,396.8645656,396.1980192,395.5609533,394.9510219,394.3661429,393.8044601,393.2643119,392.7442057,392.2427955,391.7588638,391.2913057,390.839116,390.401377,389.9772493,389.565963,389.1668104,388.7791395,388.4023482,388.0358799,387.6792183,387.3318845,386.9934327,386.6634479,386.3415428,386.0273555,385.7205474,385.4208012,385.1278192,384.8413217,384.5610456,384.2867433,384.0181813,383.755139,383.4974083,383.2447923,382.9971046,382.7541685,382.5158167,382.2818899,382.0522374,381.8267153,381.6051871,381.3875227,381.1735979,380.9632947,380.7565001,380.5531062,380.3530102
Pakistan,379.9123793,367.1870499,359.3683297,353.7971341,349.5049399,346.0335041,343.1310235,340.644833,338.4756608,336.5554714,334.8356872,333.2804647,331.8626334,330.5611273,329.359298,328.2437705,327.2036447,326.2299256,325.3151074,324.4528655,323.6378224,322.8653702,322.131531,321.4328488,320.7663025,320.1292366,319.5193052,318.9344262,318.3727434,317.8325952,317.312489,316.8110788,316.3271471,315.859589,315.4073993,314.9696603,314.5455326,314.1342463,313.7350937,313.3474228,312.9706315,312.6041632,312.2475016,311.9001678,311.561716,311.2317312,310.9098261,310.5956388,310.2888307,309.9890845,309.6961025,309.409605,309.1293289,308.8550266,308.5864645,308.3234223,308.0656916,307.8130756,307.5653879,307.3224518,307.0841,306.8501732,306.6205206,306.3949986,306.1734704,305.9558059,305.7418812,305.531578,305.3247834,305.1213895,304.9212935
Poland,415.6411766,402.9158472,395.097127,389.5259315,385.2337372,381.7623014,378.8598208,376.3736304,374.2044581,372.2842687,370.5644845,369.0092621,367.5914308,366.2899246,365.0880954,363.9725679,362.9324421,361.9587229,361.0439048,360.1816628,359.3666198,358.5941675,357.8603284,357.1616462,356.4950998,355.8580339,355.2481026,354.6632236,354.1015407,353.5613926,353.0412863,352.5398761,352.0559444,351.5883864,351.1361966,350.6984576,350.2743299,349.8630436,349.463891,349.0762201,348.6994289,348.3329605,347.976299,347.6289651,347.2905133,346.9605285,346.6386234,346.3244361,346.017628,345.7178818,345.4248998,345.1384023,344.8581263,344.583824,344.3152619,344.0522196,343.7944889,343.541873,343.2941852,343.0512492,342.8128973,342.5789706,342.349318,342.1237959,341.9022677,341.6846033,341.4706786,341.2603753,341.0535807,340.8501869,340.6500909
